Task ID,Story ID,Task Name,Phase,Type,Week,Assignee,Classification,Approx Effort (days),One-Time / Recurring,Importance,Recommendation,Observations & Analysis
T035,S011,PS-3: Run SHAP TreeExplainer on PS-1 champion model,P2,ML,Wk7,ML Engineer,PS-3 Specific,3,Recurring,Critical,KEEP — Sprint 3,"shap.TreeExplainer(champion_model). Calculate SHAP values for entire test set. Memory-intensive — use DS4_v2 compute."
T036,S011,PS-3: Generate global SHAP summary plot (beeswarm / bar),P2,ML,Wk7,ML Engineer,PS-3 Specific,2,Recurring,Critical,KEEP — Sprint 3,"shap_summary.png (beeswarm): red=high value→failure / blue=low value→normal. shap_bar.png: mean |SHAP| ranking. Top 10 features."
T037,S011,PS-3: Generate SHAP dependence plots for top 5 features,P2,ML,Wk7,ML Engineer,PS-3 Specific,2,Recurring,High,KEEP — Sprint 3,"shap_dependence_{feature}.png for each of top 5 features. Shows non-linear relationships. Color by interaction feature."
T038,S011,PS-3: Generate local SHAP waterfall explanations (per-device),P2,ML,Wk7,ML Engineer,PS-3 Specific,2,Recurring,High,KEEP — Sprint 3,"shap_local_explanation.csv: per-device SHAP breakdown. Enables 'Device X fails because signal_strength=-2.1 + error_count=+1.5'. Actionable insights."
T039,S012,PS-3: Export SHAP importance CSV (feature / mean_abs_shap / rank),P2,ML,Wk7,ML Engineer,PS-3 Specific,1,Recurring,High,KEEP — Sprint 3,"shap_importance.csv: feature_name / mean_abs_shap / rank. Feeds React dashboard PS-3 panel. Compare against RF feature_importance."
T040,S012,PS-3: Run causal inference analysis (DoWhy / causal-learn),P2,ML,Wk7,ML Engineer,PS-3 Specific,3,Recurring,High,KEEP — Sprint 3,"5 treatments: error_count / temperature_c / signal_strength_dbm / memory_usage_pct / age_days. ATE estimation. Significant=p<0.05."
T041,S012,PS-3: Generate causal graph and export causal_results.csv,P2,ML,Wk7,ML Engineer,PS-3 Specific,2,Recurring,High,KEEP — Sprint 3,"causal_results.csv: treatment / hypothesis / ate / significant. Causal graph visualization. Log all to MLflow PS3_Root_Cause experiment."
T042,S012,PS-3: Log all PS-3 metrics to MLflow (top_feature_shap / num_significant_causes),P2,MLOps,Wk7,ML Engineer,PS-3 Specific,1,Recurring,High,KEEP — Sprint 3,"MLflow run: PS3_Root_Cause. Metrics: top_feature_shap / num_significant_treatments. Artifacts: all SHAP plots + CSVs."
,,,,,,,,,,,,
,,SPRINT 4 — PS-4 & PS-5 (Anomaly Detection + SLA Risk),,,,,,,,,,
T043,S013,PS-4: Select anomaly detection features (11 operational metrics),P2,ML,Wk8,ML Engineer,PS-4 Specific,1,Recurring,High,KEEP — Sprint 4,"Feature subset: signal_strength / temperature / response_time / network_latency / power_voltage / memory / cpu / error_count / tap_success / uptime / health_score."
T044,S013,PS-4: Fit StandardScaler on training data and save scaler artifact,P2,ML,Wk8,ML Engineer,PS-4 Specific,1,Recurring,High,KEEP — Sprint 4,"StandardScaler.fit(X_train). Save scaler.pkl for inference consistency. Transform test data with fitted scaler (no data leakage)."
T045,S013,PS-4: Train Isolation Forest (contamination=0.08 / n_estimators=100),P2,ML,Wk8,ML Engineer,PS-4 Specific,3,Recurring,Critical,KEEP — Sprint 4,"IsolationForest with contamination=0.08 (expected anomaly rate). Hyperparameter search: contamination=[0.05/0.08/0.10] / n_estimators=[100/200]."
T046,S013,PS-4: Calculate anomaly scores and identify anomalous features per device,P2,ML,Wk8,ML Engineer,PS-4 Specific,2,Recurring,High,KEEP — Sprint 4,"decision_function() scores. For anomalies: compare feature values vs population mean. anomaly_feature_diff.csv: feature / anomaly_mean / normal_mean / pct_diff."
T047,S014,PS-4: Generate Isolation Forest results visualization (scatter / distribution),P2,ML,Wk8,ML Engineer,PS-4 Specific,2,Recurring,Medium,KEEP — Sprint 4,"isolation_forest_results.png: anomaly score distribution with threshold line. Scatter plot: top 2 PCA components colored by anomaly label."
T048,S014,PS-4: Implement SPC control charts for 6 key features,P2,ML,Wk9,ML Engineer,PS-4 Specific,3,Recurring,High,KEEP — Sprint 4,"X-bar charts: UCL = mean + 3*sigma / LCL = mean - 3*sigma. Features: signal / temperature / response_time / error_count / tap_success / health_score."
T049,S014,PS-4: Calculate SPC violations (outside limits) and warnings (2-3 sigma zone),P2,ML,Wk9,ML Engineer,PS-4 Specific,2,Recurring,High,KEEP — Sprint 4,"Violations: value > UCL or < LCL. Warnings: value in 2-3 sigma zone. Rules: 1 point outside / 2 of 3 in zone A / 4 of 5 in zone B."
T050,S014,PS-4: Generate SPC control chart plots and export spc_results.csv,P2,ML,Wk9,ML Engineer,PS-4 Specific,2,Recurring,Medium,KEEP — Sprint 4,"spc_control_charts.png: 6 subplots with UCL/LCL/center lines. Red dots for violations. spc_results.csv / spc_limits.json as artifacts."
T051,S014,PS-4: Log all PS-4 metrics to MLflow (anomaly_rate / spc_violations / spc_warnings),P2,MLOps,Wk9,ML Engineer,PS-4 Specific,1,Recurring,High,KEEP — Sprint 4,"MLflow run: PS4_Anomaly_Detection. Metrics: anomalies_detected / anomaly_rate_pct / spc_total_violations / spc_total_warnings."
T052,S015,PS-5: Prepare survival analysis dataset (duration / event / covariates),P2,ML,Wk9,ML Engineer,PS-5 Specific,2,Recurring,Critical,KEEP — Sprint 4,"duration_days = observation period per device. event = 1 if failure observed / 0 if censored. Covariates: age / health / errors / signal / temperature."
T053,S015,PS-5: Fit Weibull parametric survival model (lambda / rho estimation),P2,ML,Wk9,ML Engineer,PS-5 Specific,3,Recurring,Critical,KEEP — Sprint 4,"lifelines.WeibullFitter. Estimate lambda (scale) and rho (shape). rho>1 means increasing hazard (wear-out). Reliability curves at 7/14/21/30d."
T054,S015,PS-5: Generate Kaplan-Meier vs Weibull comparison plot,P2,ML,Wk10,ML Engineer,PS-5 Specific,2,Recurring,High,KEEP — Sprint 4,"km_vs_weibull.png: overlay KM empirical survival with Weibull parametric fit. Assess goodness of fit. Confidence intervals."
T055,S016,PS-5: Fit Cox Proportional Hazards model (10+ covariates),P2,ML,Wk10,ML Engineer,PS-5 Specific,3,Recurring,Critical,KEEP — Sprint 4,"lifelines.CoxPHFitter. Covariates: age_days / health_score / error_count_7d_mean / signal_7d_mean / temperature_7d_mean / cumulative_errors / maintenance_count."
T056,S016,PS-5: Validate Cox PH assumptions (proportional hazards test),P2,ML,Wk10,ML Engineer,PS-5 Specific,2,Recurring,High,KEEP — Sprint 4,"cox.check_assumptions(). Schoenfeld residuals test. If violated: stratify variable or use time-varying coefficients. Log test results."
T057,S016,PS-5: Calculate concordance index (target >0.80),P2,ML,Wk10,ML Engineer,PS-5 Specific,1,Recurring,Critical,KEEP — Sprint 4,"cox.concordance_index_. Target: >0.80. Compare against naive baseline. Log to MLflow. REJECT model if <0.75."
T058,S016,PS-5: Generate hazard ratio plots and Cox risk stratification,P2,ML,Wk10,ML Engineer,PS-5 Specific,2,Recurring,High,KEEP — Sprint 4,"cox_hazard_ratios.png: forest plot of exp(coef) with 95% CI. cox_risk_stratification.png: survival curves by risk quartile."
T059,S017,PS-5: Calculate Remaining Useful Life (RUL) per device,P2,ML,Wk10,ML Engineer,PS-5 Specific,3,Recurring,Critical,KEEP — Sprint 4,"RUL = median survival time remaining given current covariates. Risk tiers: CRITICAL(<7d) / HIGH(7-14d) / MEDIUM(14-30d) / LOW(>30d)."
T060,S017,PS-5: Calculate SLA breach probability per device,P2,ML,Wk10,ML Engineer,PS-5 Specific,2,Recurring,Critical,KEEP — Sprint 4,"P(failure within SLA window) = 1 - survival_function(SLA_days). Combine with RUL for composite sla_risk_score (0-100)."
T061,S017,PS-5: Export rul_estimates.csv / sla_risk_scores.csv / cox_summary.csv,P2,ML,Wk10,ML Engineer,PS-5 Specific,1,Recurring,High,KEEP — Sprint 4,"Per-device outputs: device_id / rul_median_days / survival_prob / risk_tier / sla_breach_prob / sla_risk_score. Log all as MLflow artifacts."
T062,S017,PS-5: Log all PS-5 metrics to MLflow (weibull_lambda / cox_concordance / mean_rul),P2,MLOps,Wk10,ML Engineer,PS-5 Specific,1,Recurring,High,KEEP — Sprint 4,"MLflow run: PS5_SLA_Risk. Metrics: weibull_lambda / weibull_rho / cox_concordance_index / mean_rul_days / reliability_7d/14d/21d/30d / high_risk_devices."
,,,,,,,,,,,,
,,SPRINT 5 — MLOPS MODEL MANAGEMENT & REGISTRY,,,,,,,,,,
T063,S018,Register all 5 PS models in MLflow Model Registry,P2,MLOps,Wk11,MLOps Engineer,MLOps Core,3,Recurring,Critical,KEEP — Sprint 5,"Register: PS1_Failure_Champion / PS2_Error_Patterns / PS3_Root_Cause / PS4_Anomaly_Detector / PS5_SLA_Risk. Stage: Production."
T064,S018,Implement Champion/Challenger model comparison logic,P2,MLOps,Wk11,MLOps Engineer,MLOps Core,3,Recurring,Critical,KEEP — Sprint 5,"Compare new model vs current Production model. Promote only if new_metric > current_metric. Challenger stays in Staging. Auto-archive old versions."
T065,S018,Build model versioning and lineage tracking,P2,MLOps,Wk11,MLOps Engineer,MLOps Core,2,Recurring,High,KEEP — Sprint 5,"Track: model_version / training_data_hash / feature_set_version / parent_experiment / training_timestamp. Full reproducibility chain."
T066,S019,Implement Evidently AI data drift detection (DataDriftPreset),P2,MLOps,Wk11,MLOps Engineer,MLOps Core,3,Recurring,Critical,KEEP — Sprint 5,"Evidently Report with DataDriftPreset. Compare reference (training) vs current (daily) data. drift_share threshold: 30%. HTML report output."
T067,S019,Implement Evidently AI data quality monitoring (DataSummaryPreset),P2,MLOps,Wk11,MLOps Engineer,MLOps Core,2,Recurring,High,KEEP — Sprint 5,"DataSummaryPreset: column stats / missing values / distribution changes. Paired with Great Expectations for comprehensive quality."
T068,S019,Build drift decision logic (drift_share > 30% → trigger retraining),P2,MLOps,Wk12,MLOps Engineer,MLOps Core,2,Recurring,Critical,KEEP — Sprint 5,"drift_decision.json output: drift_share / should_retrain / reason / timestamp. Feeds automated retraining pipeline trigger."
T069,S020,Implement Great Expectations quality validation suite (Bronze/Silver/Gold),P2,MLOps,Wk12,MLOps Engineer,MLOps Core,4,Recurring,High,KEEP — Sprint 5,"3 expectation suites: Bronze (9 checks) / Silver (13 checks) / Gold (11 checks). Total: 33 expectations. quality_summary.json output."
T070,S020,Build quality gate logic (pass_rate > 97% required for Gold→ML),P2,MLOps,Wk12,MLOps Engineer,MLOps Core,2,Recurring,Critical,KEEP — Sprint 5,"Quality gate: overall_pass_rate >= 97%. If fail: block Gold→ML pipeline / alert Data Engineering / quarantine batch for investigation."
T071,S020,Generate quality reports (CSV + JSON + HTML) and log to MLflow,P2,MLOps,Wk12,MLOps Engineer,MLOps Core,1,Recurring,Medium,KEEP — Sprint 5,"quality_report.csv / quality_summary.json per layer. Log to Drift_Detection MLflow experiment. Track quality trends over time."
,,,,,,,,,,,,
,,SPRINT 6 — AUTOMATED RETRAINING & SCHEDULING,,,,,,,,,,
T072,S021,Build daily scheduled pipeline script (daily_scheduled_pipeline.py),P2,MLOps,Wk13,MLOps Engineer,MLOps Core,5,Recurring,Critical,KEEP — Sprint 6,"Full pipeline: Ingest→Clean→Quality→Predict(PS1-5)→Drift→Retrain_if_needed. Watermark tracking. CDC detection. 6 AM daily trigger."
T073,S021,Implement watermark tracking for incremental data processing,P2,MLOps,Wk13,MLOps Engineer,MLOps Core,2,Recurring,Critical,KEEP — Sprint 6,"data/watermarks/ directory. Per-table watermark: last_processed_date / last_row_count / last_quality_score. Prevents re-processing."
T074,S021,Implement CDC (Change Data Capture) detection in daily pipeline,P2,MLOps,Wk13,MLOps Engineer,MLOps Core,3,Recurring,High,KEEP — Sprint 6,"Detect new records (INSERT) vs updated records (UPDATE). WHERE updated_at > @watermark. Merge strategy for updates."
T075,S022,Build 4 automated retraining triggers,P2,MLOps,Wk13,MLOps Engineer,MLOps Core,4,Recurring,Critical,KEEP — Sprint 6,"Trigger 1: Accuracy<90% (CRITICAL / immediate). Trigger 2: Accuracy<92% (HIGH / scheduled). Trigger 3: Drift>30% (MEDIUM). Trigger 4: 15-day cycle (LOW / routine)."
T076,S022,Implement 15-day training data accumulation cycle,P2,MLOps,Wk14,MLOps Engineer,MLOps Core,3,Recurring,High,KEEP — Sprint 6,"Daily data → training_buffer/. Every 15 days: merge buffer → full training set → retrain all PS. Track: buffer_size / days_accumulated / next_retrain_date."
T077,S022,Build retraining validation pipeline (train→evaluate→compare→deploy),P2,MLOps,Wk14,MLOps Engineer,MLOps Core,4,Recurring,Critical,KEEP — Sprint 6,"Retrain all 5 PS. Evaluate on held-out test. Compare vs current Production model. Deploy only if new > current. Auto-rollback on failure."
T078,S023,Implement model A/B testing framework (Champion vs Challenger traffic split),P2,MLOps,Wk14,MLOps Engineer,MLOps Core,4,One-Time,High,KEEP — Sprint 6,"Route 5% traffic to Challenger model. Compare prediction accuracy / latency / error rate over 24h. Auto-promote if Challenger wins."
T079,S023,Build retraining notification system (Slack / email / MLflow tags),P2,MLOps,Wk14,MLOps Engineer,MLOps Core,2,Recurring,Medium,KEEP — Sprint 6,"Notify on: retrain_triggered / retrain_completed / model_promoted / retrain_failed. Channels: Slack #ml-alerts / email ml-team@. MLflow run tags."
T080,S023,Configure Windows Task Scheduler / Databricks Workflow for 6 AM daily run,P2,MLOps,Wk14,MLOps Engineer,MLOps Core,2,Recurring,High,KEEP — Sprint 6,"Local: run_daily.bat in Task Scheduler. Azure: Databricks Workflow multi-task job. Airflow alternative: daily_pipeline_dag.py."
,,,,,,,,,,,,
,,SPRINT 7 — API PREDICTION SERVICE & MONITORING,,,,,,,,,,
T081,S024,Build FastAPI /predict/failure endpoint (PS-1 single device),P2,App/ML,Wk15,ML Engineer,API Serving,3,Recurring,Critical,KEEP — Sprint 7,"Load PS-1 champion model. Feature preparation from request JSON. predict_proba. Risk tier classification. Response: probability / tier / action."
T082,S024,Build FastAPI /predict/anomaly endpoint (PS-4 single device),P2,App/ML,Wk15,ML Engineer,API Serving,2,Recurring,High,KEEP — Sprint 7,"Load IsolationForest + scaler. decision_function score. Identify anomalous features by comparing vs population. Response: is_anomaly / score / features."
T083,S024,Build FastAPI /predict/sla-risk endpoint (PS-5 single device),P2,App/ML,Wk15,ML Engineer,API Serving,3,Recurring,Critical,KEEP — Sprint 7,"Composite SLA risk: Weibull survival + Cox hazard + RUL estimate. Response: sla_risk_score / rul_days / risk_tier / recommended_action."
T084,S025,Build FastAPI /predict/batch/all endpoint (all 5 PS for multiple devices),P2,App/ML,Wk15,ML Engineer,API Serving,4,Recurring,Critical,KEEP — Sprint 7,"Batch: 15-500 devices. Run PS1+PS2+PS3+PS4+PS5 per device. PS2: error patterns for batch. PS3: SHAP for top-risk devices. Parallel execution."
T085,S025,Build FastAPI /dashboard/summary endpoint (aggregated PS results),P2,App/ML,Wk15,ML Engineer,API Serving,3,Recurring,High,KEEP — Sprint 7,"Aggregate all PS outputs for React dashboard. champion_model / shap_importance / anomaly_summary / rul_estimates / drift_status / quality_metrics."
T086,S026,Integrate 28 Prometheus custom metrics into API,P2,MLOps,Wk16,MLOps Engineer,Monitoring,3,Recurring,High,KEEP — Sprint 7,"5 request metrics + 6 model performance + 4 risk/business + 3 system + 3 drift + 7 process. Histogram buckets for latency / probability distributions."
T087,S026,Configure Prometheus scrape targets (local + Docker),P2,MLOps,Wk16,MLOps Engineer,Monitoring,2,Recurring,High,KEEP — Sprint 7,"prometheus.yml: telemetry-api (host.docker.internal:8000) for local / telemetry-api-docker (telemetry-api:8000) for Docker. 15s scrape interval."
T088,S026,Build 4 Grafana dashboards (Operations / Model / SLA / Drift),P2,MLOps,Wk16,MLOps Engineer,Monitoring,4,Recurring,High,KEEP — Sprint 7,"Operations: predictions/min / P99 latency / error rate. Model: failure_prob distribution / anomaly scores. SLA: devices_at_risk / RUL. Drift: drift_share / quality."
T089,S027,Configure 7 Grafana alert rules (error_rate / latency / drift / quality / devices_at_risk),P2,MLOps,Wk16,MLOps Engineer,Monitoring,2,Recurring,High,KEEP — Sprint 7,"7 alerts with severity. Critical: error_rate>10% / model_not_loaded. Warning: drift>30% / latency>1s / quality<90%. Notification channels."
T090,S027,Implement Azure App Insights integration (SDK + KQL queries),P2,MLOps,Wk16,MLOps Engineer,Monitoring,3,One-Time,High,KEEP — Sprint 7,"opencensus-ext-azure SDK. Map all 28 Prometheus metrics → customMetrics. 20+ KQL queries for: requests / model performance / drift / system health."
,,,,,,,,,,,,
,,SPRINT 8 — DEPLOYMENT STRATEGIES & CI/CD,,,,,,,,,,
T091,S028,Build Docker images for API / ML-service (Dockerfile + docker-compose),P2,MLOps,Wk17,MLOps Engineer,Deployment,3,Recurring,High,KEEP — Sprint 8,"Dockerfile: python:3.11-slim base. Multi-stage build. ~200MB image. docker-compose.yml: api + prometheus + grafana + nginx. Health checks."
T092,S028,Build Blue-Green deployment configuration (docker-compose.blue-green.yml),P2,MLOps,Wk17,MLOps Engineer,Deployment,3,One-Time,High,KEEP — Sprint 8,"Blue (current v1) + Green (new v2). Nginx weight routing. Flip: edit weights → nginx -s reload. Rollback: <30s. Zero downtime."
T093,S028,Build Canary deployment configuration (gradual traffic shift),P2,MLOps,Wk17,MLOps Engineer,Deployment,2,One-Time,Medium,KEEP — Sprint 8,"Nginx weight tuning: 5%→20%→50%→100% over 4 stages. Monitor at each stage. Auto-rollback if error_rate > baseline + 2%."
