Task ID,Story ID,Task Name,Phase,Type,Week,Assignee,Classification,Approx Effort (days),One-Time / Recurring,Importance,Recommendation,Observations & Analysis
T012,S004,Build ADF monitoring dashboard (pipeline runs / success rate / latency / data volume),P1,DE,Wk3,Data Engineer,Monitoring,2,Recurring,High,KEEP — Sprint 1,"ADF Monitor: track pipeline_duration / rows_copied / data_volume_mb / watermark_delta / error_count. Alert on: duration>10min / rows=0 / failure. Diagnostic settings → Log Analytics."
,,,,,,,,,,,,
,,SPRINT 2 — BRONZE LAYER (Raw Data Landing),,,,,,,,,,
T013,S005,Design Bronze layer storage structure (container / device_type / date partitioning),P1,DE,Wk3,Data Engineer,Bronze Design,2,One-Time,Critical,KEEP — Sprint 2,"Structure: /bronze/{table_name}/date=YYYY-MM-DD/data_{batch_id}.parquet. Tables: readers / error_logs / maintenance / environment. Append-only (immutable). Snappy compression."
T014,S005,Build ADF Copy Activity for telemetry table (SQL → Bronze Parquet),P1,DE,Wk3,Data Engineer,Bronze Pipeline,4,Recurring,Critical,KEEP — Sprint 2,"Copy Activity: source=SQL query with CDC filter / sink=ADLS Parquet (Snappy). Mapping: auto-map all columns. Add metadata: _ingested_at / _source_file / _batch_id / _pipeline_run_id."
T015,S005,Build ADF Copy Activity for error_logs table (SQL → Bronze Parquet),P1,DE,Wk3,Data Engineer,Bronze Pipeline,3,Recurring,Critical,KEEP — Sprint 2,"Same pattern as telemetry but different source table. CDC column: timestamp (not updated_at). Handle: timestamp as partition key. Expected volume: ~1500 events/month."
T016,S005,Build ADF Copy Activity for maintenance table (SQL → Bronze Parquet),P1,DE,Wk3,Data Engineer,Bronze Pipeline,3,Recurring,High,KEEP — Sprint 2,"Maintenance/SLA records. CDC column: updated_at. Includes: resolution_time / cost / parts_replaced / sla_target. ~400 records/month. Join key: device_id."
T017,S005,Build ADF Copy Activity for devices master table (SQL → Bronze Parquet),P1,DE,Wk4,Data Engineer,Bronze Pipeline,2,Recurring,High,KEEP — Sprint 2,"Device master: slowly changing dimension. Full refresh daily (not CDC — small table ~200 rows). Includes: device_id / manufacturer / firmware / install_date / station / gate_type."
T018,S006,Implement parallel extraction of all 4 tables using ADF ForEach activity,P1,DE,Wk4,Data Engineer,Bronze Pipeline,3,Recurring,High,KEEP — Sprint 2,"ForEach activity iterates over table_config array. Parallel execution: batch_count=4 (all tables simultaneously). Config: [{table: telemetry, cdc_col: date}, {table: error_logs, cdc_col: timestamp}, ...]."
T019,S006,Add Bronze metadata columns (_ingested_at / _source / _batch_id / _pipeline_run_id),P1,DE,Wk4,Data Engineer,Bronze Pipeline,2,Recurring,High,KEEP — Sprint 2,"Derived column in ADF Data Flow or post-processing. _ingested_at=utcnow(). _source=pipeline().parameters.source_table. _batch_id=GUID. _pipeline_run_id=pipeline().RunId. Audit trail."
T020,S006,Build Bronze ingestion manifest (JSON log per batch with row counts and checksums),P1,DE,Wk4,Data Engineer,Bronze Pipeline,2,Recurring,High,KEEP — Sprint 2,"After each Bronze write: create manifest.json with {table / date / rows_written / file_size_bytes / checksum / watermark_before / watermark_after / duration_ms}. Stored alongside parquet."
T021,S007,Implement Bronze schema evolution handling (new columns from source),P1,DE,Wk4,Data Engineer,Bronze Design,3,One-Time,Medium,KEEP — Sprint 2,"Bronze allows schema evolution (new columns auto-added). ADF mapping: dynamic schema. Parquet schema merge on read. Alert when new columns detected. Document in schema registry."
T022,S007,Configure Bronze lifecycle policy (Hot tier / retention 24 months),P1,DE,Wk4,Data Engineer,Bronze Design,1,One-Time,Medium,KEEP — Sprint 2,"ADLS lifecycle management rule: Bronze container. Hot tier (0-90 days). Cool tier (90-365 days). Archive tier (365-730 days). Delete after 730 days. Cost optimization."
,,,,,,,,,,,,
,,SPRINT 3 — SILVER LAYER (Data Cleansing & Validation),,,,,,,,,,
T023,S008,Design Silver layer schema (strictly enforced / no nulls in critical columns),P2,DE,Wk5,Data Engineer,Silver Design,3,One-Time,Critical,KEEP — Sprint 3,"Strict schema per table. Enforce data types. Critical columns NOT NULL: device_id / timestamp / date. Standardize: UTC timestamps / uppercase enums / trimmed strings."
T024,S008,Build Silver deduplication logic (MERGE on composite key: device_id + timestamp),P2,DE,Wk5,Data Engineer,Silver Pipeline,4,Recurring,Critical,KEEP — Sprint 3,"Dedup strategy: keep latest by _ingested_at for same (device_id + date) key. Databricks SQL MERGE or pandas drop_duplicates. Expected dup rate: <1%. Log duplicates removed."
T025,S008,Build Silver null handling rules (reject / fill / default per column),P2,DE,Wk5,Data Engineer,Silver Pipeline,3,Recurring,Critical,KEEP — Sprint 3,"Rules per column: device_id NULL → REJECT record. timestamp NULL → REJECT. duration_ms NULL → fill with median. error_code NULL → fill with 'UNKNOWN'. success_flag NULL → fill with 0."
T026,S009,Build Silver type casting and UTC standardization,P2,DE,Wk5,Data Engineer,Silver Pipeline,3,Recurring,High,KEEP — Sprint 3,"Cast: date strings → datetime64. temperatures → float32. counts → int32. Standardize: all timestamps to UTC. Enum mapping: 'M'→'Male' / 'HLTH'→'Health'. Timezone conversion."
T027,S009,Build Silver range validation rules (temperature / voltage / percentages / counts),P2,DE,Wk6,Data Engineer,Silver Pipeline,3,Recurring,High,KEEP — Sprint 3,"Validation: temperature_c BETWEEN -10 AND 80. power_voltage BETWEEN 2.0 AND 6.0. memory_usage_pct BETWEEN 0 AND 100. signal_strength BETWEEN 0 AND 100. Flag out-of-range as anomaly."
T028,S009,Build Silver referential integrity checks (device_id exists in devices master),P2,DE,Wk6,Data Engineer,Silver Pipeline,2,Recurring,High,KEEP — Sprint 3,"Join telemetry.device_id against devices.device_id. Orphan records (no matching device): quarantine to silver/rejected/ folder. Alert if orphan rate > 2%."
T029,S010,Build Silver rejected records pipeline (quarantine / investigate / alert),P2,DE,Wk6,Data Engineer,Silver Pipeline,3,Recurring,High,KEEP — Sprint 3,"Rejected records → silver/rejected/date=YYYY-MM-DD/. Include: original record + rejection_reason + rejection_rule. Alert: Slack/email if rejected_count > 100/batch. Monthly review process."
T030,S010,Implement Silver overwrite-by-partition write strategy,P2,DE,Wk6,Data Engineer,Silver Pipeline,2,Recurring,High,KEEP — Sprint 3,"Write mode: overwrite by partition (date). Ensures idempotent reruns. Delta Lake format with MERGE for upsert. Enable: OPTIMIZE + ZORDER BY device_id for read performance."
T031,S010,Build Silver processing Databricks notebook (02_silver_layer.py),P2,DE,Wk6,Data Engineer,Silver Pipeline,5,Recurring,Critical,KEEP — Sprint 3,"Master Silver notebook: read Bronze → deduplicate → cast types → validate ranges → check referential integrity → calculate quality score → write Silver (pass) or rejected (fail). 3-7 min runtime."
,,,,,,,,,,,,
,,SPRINT 4 — DATA QUALITY FRAMEWORK (Great Expectations / Evidently),,,,,,,,,,
T032,S011,Design 4-dimension quality scoring framework (Completeness 40% / Validity 30% / Consistency 20% / Uniqueness 10%),P2,DE,Wk7,Data Engineer,Quality Framework,3,One-Time,Critical,KEEP — Sprint 4,"Weighted quality score = 0.4*completeness + 0.3*validity + 0.2*consistency + 0.1*uniqueness. Per MARS: overall score must be >97% to proceed to Gold. Target: 97.8%."
T033,S011,Implement Completeness checks (null rate per column / critical field presence),P2,DE,Wk7,Data Engineer,Quality Framework,3,Recurring,Critical,KEEP — Sprint 4,"Completeness = 1 - (null_count / total_count) per critical column. Critical columns: device_id / date / signal_strength / temperature / tap_success_rate. Threshold: >98% per column."
T034,S011,Implement Validity checks (range validation / enum membership / date logic),P2,DE,Wk7,Data Engineer,Quality Framework,3,Recurring,Critical,KEEP — Sprint 4,"Validity rules: temperature BETWEEN -10 AND 80. tap_success BETWEEN 0 AND 1. error_code IN (12 valid codes). date <= today(). duration_ms > 0. Threshold: >97%."
T035,S012,Implement Consistency checks (referential integrity / cross-field logic),P2,DE,Wk7,Data Engineer,Quality Framework,2,Recurring,High,KEEP — Sprint 4,"Consistency rules: if success_flag=1 then error_code should be null. if maintenance_date exists then device_id must exist in devices. end_time > start_time. Threshold: >95%."
T036,S012,Implement Uniqueness checks (composite key uniqueness / no duplicate records),P2,DE,Wk8,Data Engineer,Quality Framework,2,Recurring,High,KEEP — Sprint 4,"Uniqueness = 1 - (duplicate_count / total_count). Key: (device_id + date) for telemetry. (device_id + timestamp) for errors. Threshold: >99%. Dedup before check."
T037,S012,Build quality gate logic (weighted score >=97% required / block pipeline if fail),P2,DE,Wk8,Data Engineer,Quality Framework,3,Recurring,Critical,KEEP — Sprint 4,"Compute: quality_score = 0.4*C + 0.3*V + 0.2*Co + 0.1*U. If score >= 0.97: PASS → continue to Gold. If score < 0.97: FAIL → block pipeline → quarantine batch → alert DE team."
T038,S013,Build Great Expectations expectation suites (Bronze / Silver / Gold),P2,DE,Wk8,Data Engineer,Quality Framework,4,Recurring,High,KEEP — Sprint 4,"Bronze: 9 expectations (schema exists / nulls / row count). Silver: 13 expectations (types / ranges / referential). Gold: 11 expectations (feature completeness / label distribution). Total: 33."
T039,S013,Build quality report generation (CSV + JSON + HTML) and MLflow logging,P2,DE,Wk8,Data Engineer,Quality Framework,2,Recurring,Medium,KEEP — Sprint 4,"quality_report.csv: per-expectation results. quality_summary.json: overall pass/fail. Log to MLflow Drift_Detection experiment. Track quality trends over time for degradation alerts."
T040,S013,Build quality monitoring dashboard (real-time quality score / trends / alerts),P2,DE,Wk8,Data Engineer,Quality Framework,2,Recurring,High,KEEP — Sprint 4,"Grafana/Azure dashboard: overall quality score gauge (target >97%). Per-dimension breakdown. Trend line (last 30 days). Alert: Slack/email when score drops below 97%."
,,,,,,,,,,,,
,,SPRINT 5 — GOLD LAYER (Feature Engineering),,,,,,,,,,
T041,S014,Design Gold layer feature catalog (85-120 features organized by 5 calculator groups),P2,DE,Wk9,Data Engineer,Gold Design,3,One-Time,Critical,KEEP — Sprint 5,"5 feature groups per MARS: Transaction (20) / Error Pattern (25) / Maintenance (15) / Environmental (15) / Temporal (10). Feature metadata: name / type / source / window / null_handling / importance."
T042,S014,Build Transaction feature calculator (20 features: daily_taps / success_rate / duration stats),P2,DE,Wk9,Data Engineer,Gold Pipeline,4,Recurring,Critical,KEEP — Sprint 5,"Features: daily_taps / tap_success_rate / avg_response_time / max_response_time / transaction_count_7d / transaction_count_30d / success_rate_7d / success_rate_30d / duration_std / peak_hour_ratio."
T043,S014,Build Error Pattern feature calculator (25 features: error_count / bursts / severity / rolling),P2,DE,Wk9,Data Engineer,Gold Pipeline,5,Recurring,Critical,KEEP — Sprint 5,"Features: error_count / error_count_7d_mean / error_count_7d_std / unique_error_types / severity_max / critical_error_count / error_burst_count / error_count_delta / cumulative_errors / error_rate_trend."
T044,S015,Build Maintenance feature calculator (15 features: days_since_service / frequency / cost),P2,DE,Wk10,Data Engineer,Gold Pipeline,3,Recurring,High,KEEP — Sprint 5,"Features: days_since_last_failure / total_maintenance_count / corrective_count / emergency_count / avg_resolution_hours / parts_replaced_count / maintenance_cost_30d / sla_compliance_rate."
T045,S015,Build Environmental feature calculator (15 features: temperature trends / power stability),P2,DE,Wk10,Data Engineer,Gold Pipeline,3,Recurring,High,KEEP — Sprint 5,"Features: temperature_c / temperature_7d_mean / temperature_7d_std / temperature_delta / power_voltage / power_voltage_std / power_stability_score / humidity_7d_mean / temp_anomaly_flag."
T046,S015,Build Temporal feature calculator (10 features: hour_of_day / day_of_week / seasonality),P2,DE,Wk10,Data Engineer,Gold Pipeline,2,Recurring,High,KEEP — Sprint 5,"Features: is_weekend / is_peak_hour / day_of_week / month / days_since_install / age_days / is_old_device (>1000d) / season / quarter / is_holiday."
T047,S016,Build rolling window calculations (7d / 14d / 30d means / std / min / max),P2,DE,Wk10,Data Engineer,Gold Pipeline,4,Recurring,Critical,KEEP — Sprint 5,"Window functions: .rolling(7).mean() / .rolling(7).std() for: signal_strength / temperature / error_count / response_time. Partition by device_id. Order by date. Min_periods=1."
T048,S016,Build delta features (day-over-day change for key metrics),P2,DE,Wk10,Data Engineer,Gold Pipeline,2,Recurring,High,KEEP — Sprint 5,"Delta = current_value - previous_day_value. For: signal_strength_delta / temperature_delta / error_count_delta / response_time_delta. .diff() grouped by device_id."
T049,S016,Build cumulative features (running totals for errors / reboots / maintenance),P2,DE,Wk11,Data Engineer,Gold Pipeline,2,Recurring,High,KEEP — Sprint 5,"Cumulative: cumulative_errors = .cumsum() / cumulative_reboots = .cumsum() / cumulative_maintenance = .cumsum(). Partition by device_id. Order by date."
T050,S017,Build composite health_score feature (weighted combination of 6 metrics),P2,DE,Wk11,Data Engineer,Gold Pipeline,2,Recurring,Critical,KEEP — Sprint 5,"health_score = tap_success*30 + (signal/100)*20 + (1-memory/100)*15 + (1-cpu/100)*15 + (uptime/24)*10 + (1-errors.clip(0,10)/10)*10. Range: 0-100. Higher = healthier."
T051,S017,Build failure label (failure_next_3d binary target from maintenance events),P2,DE,Wk11,Data Engineer,Gold Pipeline,3,Recurring,Critical,KEEP — Sprint 5,"Label: failure_next_3d = 1 if device had failure event within next 3 days, else 0. Join Gold features with maintenance events. Look-ahead window: 3 days. Expected positive rate: 3-5%."
T052,S017,Build Gold layer master notebook (03_gold_layer.py — all 5 calculators + label),P2,DE,Wk11,Data Engineer,Gold Pipeline,5,Recurring,Critical,KEEP — Sprint 5,"Master Gold notebook: read Silver → compute all 5 calculator groups → compute composite features → generate failure label → quality check → write to Gold. 10-15 min runtime."
,,,,,,,,,,,,
,,SPRINT 6 — FEATURE STORE & INCREMENTAL PROCESSING,,,,,,,,,,
T053,S018,Build Feature Store with versioning and PS-specific feature tables,P2,DE,Wk12,Data Engineer,Feature Store,4,Recurring,Critical,KEEP — Sprint 6,"Feature Store: device_telemetry_features.parquet + schema.json. SemVer versioning (v1.0.0). PS-specific views: ps1_features / ps4_features / ps5_features. Delta Lake format for time-travel."
T054,S018,Build feature metadata catalog (feature_name / type / source / window / null_handling / importance),P2,DE,Wk12,Data Engineer,Feature Store,3,One-Time,High,KEEP — Sprint 6,"feature_catalog.json: each feature documented with: name / data_type / calculation_logic / source_table / aggregation / time_window / null_handling / importance_score. Feeds ML and dashboard."
T055,S018,Implement feature store registration in Azure ML Feature Store / Unity Catalog,P2,DE,Wk12,Data Engineer,Feature Store,3,One-Time,High,KEEP — Sprint 6,"Register feature table in Databricks Unity Catalog or Azure ML Feature Store. Enable: cross-team discovery / lineage tracking / automated feature serving. Training-serving consistency guarantee."
T056,S019,Build incremental Gold processing (process only new data from Silver),P2,DE,Wk12,Data Engineer,Incremental,4,Recurring,Critical,KEEP — Sprint 6,"Incremental strategy: read Gold watermark → filter Silver WHERE date > watermark → compute features for new data only → MERGE into Gold. Avoids full recomputation. Reduces 15min→2min."
T057,S019,Implement watermark tracking for Gold layer (last_processed_date per device),P2,DE,Wk13,Data Engineer,Incremental,2,Recurring,High,KEEP — Sprint 6,"Gold watermark table: (device_id / last_processed_date / feature_count / quality_score). Per-device tracking enables parallel processing and failure recovery at device level."
T058,S019,Build incremental daily pipeline integration (daily_scheduled_pipeline.py data portion),P2,DE,Wk13,Data Engineer,Incremental,4,Recurring,Critical,KEEP — Sprint 6,"Daily pipeline data steps: Bronze ingest (new day) → Silver clean → Quality gate → Gold features (incremental) → Feature Store update. Watermark advancement. 6 AM trigger. ~5-10 min runtime."
,,,,,,,,,,,,
,,SPRINT 7 — PIPELINE ORCHESTRATION & ERROR HANDLING,,,,,,,,,,
T059,S020,Build master ADF pipeline (orchestrates Bronze → Silver → Gold → Quality in sequence),P2,DE,Wk13,Data Engineer,Orchestration,4,Recurring,Critical,KEEP — Sprint 7,"ADF master pipeline: Execute Bronze (parallel 4 tables) → If success: Execute Silver → Quality Gate → If pass: Execute Gold → Feature Store. Each step: success/failure handling."
T060,S020,Implement pipeline dependency management (Silver waits for Bronze / Gold waits for Silver+Quality),P2,DE,Wk13,Data Engineer,Orchestration,2,Recurring,High,KEEP — Sprint 7,"ADF activity dependencies: Bronze.OnSuccess → Silver. Silver.OnSuccess → QualityGate. QualityGate.OnSuccess → Gold. QualityGate.OnFailure → AlertAndSkip."
T061,S020,Build pipeline alerting (Slack / email on failure / quality drop / latency spike),P2,DE,Wk14,Data Engineer,Orchestration,2,Recurring,High,KEEP — Sprint 7,"Alert channels: Slack #data-pipeline-alerts. Email: data-team@. Triggers: pipeline_failed / quality_score<97% / duration>30min / rows_ingested=0. Severity: P1(failure) / P2(quality) / P3(latency)."
T062,S021,Build pipeline idempotency (safe to re-run without duplicate data),P2,DE,Wk14,Data Engineer,Error Handling,3,Recurring,Critical,KEEP — Sprint 7,"Idempotent writes: Bronze=append with unique batch_id. Silver=overwrite by partition. Gold=MERGE on (device_id + date). Safe to re-run any stage without data corruption."
T063,S021,Build pipeline recovery logic (resume from last successful step on failure),P2,DE,Wk14,Data Engineer,Error Handling,3,Recurring,High,KEEP — Sprint 7,"Checkpoint tracking: last_successful_step per pipeline_run. On failure: log step + error → On retry: skip completed steps → resume from failed step. Prevents full re-execution."
T064,S021,Build dead letter queue for permanently failed records,P2,DE,Wk14,Data Engineer,Error Handling,2,Recurring,Medium,KEEP — Sprint 7,"Records that fail after 3 retries → dead_letter/ folder. Include: original_record + error_message + retry_count + timestamp. Weekly review process. Monthly cleanup of resolved items."
,,,,,,,,,,,,
,,SPRINT 8 — TESTING & DOCUMENTATION,,,,,,,,,,
T065,S022,Write unit tests for Bronze ingestion (schema validation / metadata columns / partitioning),P3,DE Test,Wk15,Data Engineer,Testing,3,Recurring,High,KEEP — Sprint 8,"pytest: test_bronze_schema / test_metadata_columns_present / test_date_partitioning / test_parquet_compression / test_row_count_matches_source. Synthetic test data fixtures."
T066,S022,Write unit tests for Silver cleansing (dedup / null handling / type casting / range validation),P3,DE Test,Wk15,Data Engineer,Testing,3,Recurring,High,KEEP — Sprint 8,"pytest: test_deduplication_removes_duplicates / test_null_rejection / test_null_fill_median / test_type_casting / test_range_clipping / test_referential_integrity. Edge cases."
T067,S022,Write unit tests for Gold feature engineering (rolling windows / deltas / health score / labels),P3,DE Test,Wk15,Data Engineer,Testing,3,Recurring,High,KEEP — Sprint 8,"pytest: test_7d_rolling_mean / test_delta_computation / test_cumulative_sum / test_health_score_range_0_100 / test_failure_label_binary / test_feature_count_matches_catalog."
T068,S023,Write integration test for end-to-end pipeline (Bronze → Silver → Quality → Gold → Feature Store),P3,DE Test,Wk16,Data Engineer,Testing,4,One-Time,Critical,KEEP — Sprint 8,"End-to-end test: generate 100 synthetic records → ingest Bronze → clean Silver → quality gate (expect pass) → compute Gold → verify Feature Store. Assert: row counts / quality score / feature count."
T069,S023,Write pipeline regression test (inject bad data / verify quality gate rejects),P3,DE Test,Wk16,Data Engineer,Testing,2,One-Time,High,KEEP — Sprint 8,"Inject: 50% null device_ids + out-of-range temperatures + future dates. Assert: quality_score < 97% → pipeline blocked → rejected records in quarantine → alert fired."
T070,S024,Document data dictionary (all Bronze / Silver / Gold columns with descriptions),P3,DE Doc,Wk16,Data Engineer,Documentation,3,One-Time,High,KEEP — Sprint 8,"Data dictionary: table_name / column_name / data_type / description / source / nullable / example_value / validation_rule. Covers all 3 layers. Published as docs/DATA_DICTIONARY.md."
T071,S024,Document pipeline architecture (data flow diagram / latency budget / SLA),P3,DE Doc,Wk16,Data Engineer,Documentation,2,One-Time,High,KEEP — Sprint 8,"Architecture doc: end-to-end data flow diagram. Latency budget: Source CDC (5-15min) + Bronze (2-5min) + Silver (3-7min) + Gold (10-15min) = 20-42min total. SLA: <45min E2E."
T072,S024,Document operational runbook for pipeline failure troubleshooting,P3,DE Doc,Wk16,Data Engineer,Documentation,2,One-Time,High,KEEP — Sprint 8,"Runbook: Pipeline Failure. Trigger: ADF status=Failed. Steps: identify failed step → check error logs → diagnose (5 common causes) → fix → retry → escalate if >2hr. Per MARS Section 14."
,,,,,,,,,,,,
,,SUMMARY,,,,,,,,,,
,,Total Tasks: 72,,,,,,Total Effort: ~196 days,,,,
,,Source Connectivity & CDC: 12 tasks,,,,,,Effort: ~31 days,,,,
,,Bronze Layer: 10 tasks,,,,,,Effort: ~29 days,,,,
,,Silver Layer: 9 tasks,,,,,,Effort: ~28 days,,,,
,,Data Quality Framework: 9 tasks,,,,,,Effort: ~24 days,,,,
,,Gold Layer (Feature Engineering): 12 tasks,,,,,,Effort: ~38 days,,,,
,,Feature Store & Incremental: 6 tasks,,,,,,Effort: ~20 days,,,,
,,Pipeline Orchestration: 6 tasks,,,,,,Effort: ~16 days,,,,
,,Testing & Documentation: 8 tasks,,,,,,Effort: ~22 days,,,,
,,Sprint Duration: 2 weeks each,,,,,,Total Sprints: 8 (16 weeks),,,,
,,Team: 2 Data Engineers + 1 Senior DE,,,,,,,,,,
